x, y
0.059840421889259, -0.006518019202945119
0.13563819830641655, -0.018181833052773655
0.20744667413711518, -0.03533449278108572
0.31117031556979774, -0.05248715250939784
0.41489365263835515, -0.06826759422486864
0.5226062902933717, -0.0778730679689944
0.6582446407818505, -0.09022300391168439
0.7859040857332866, -0.09365353585734684
0.9414892435181854, -0.09571184979016793
1.0970744013030844, -0.09296741376448532
1.2885638730943638, -0.08747856788600183
1.5079787533549802, -0.07512865811619347
1.7353722347885152, -0.06277874834638511
1.9986700302284308, -0.04356774851237022
2.2898935385018087, -0.02367067893125724
2.6010635497074817, 0.003087480714062313
2.944148574333075, 0.031217832199341433
