x, y
0, 1.1464873937658164
6.016261361689784, 1.0866964346095336
12.195121867171279, 0.9895365536372087
19.837399477817236, 0.8101645314816301
28.29268521294127, 0.5560538103806985
37.723578216335106, 0.23467868788558288
46.99187827869697, -0.1315396539767444
57.7235830407038, -0.4529153466807052
68.29268865891892, -0.7070254975727917
80.48781052609019, -0.8789237923860458
94.63414692980109, -0.8863975197283704
102.4390298869985, -0.8639766228058212
114.14634191727512, -0.7593421591779042
125.85366635307125, -0.6696562906523262
139.02439548851234, -0.6023921743625658
146.3414686088151, -0.5799701370223254
157.88619390081948, -0.5201794629704664
171.54472046763573, -0.48281025605000094
178.37398375104385, -0.47533624360325377
