x, y
0.18749986684069528, -0.04219555667241057
0.28723390332279364, -0.06072040824068228
0.5784574115961717, -0.09914238173583031
0.7539893766774901, -0.10806181190573966
0.985372158697484, -0.11080619558565889
1.2805849675573209, -0.09708406780300922
1.4361701253422199, -0.08473413186031924
1.7234040286650139, -0.06072040824068228
1.8510637779805748, -0.05042881240369507
1.994680729641972, -0.03602058870106556
2.13430838071691, -0.020926242905574627
2.202127403779087, -0.01269296100140846
2.381648669446864, 0.009262422512525653
2.545212732768806, 0.031217832199341433
2.708776491726623, 0.05866210085108159
2.9561167804565773, 0.09159517612198276
