Point ID,arc_length,Density,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Residual_Density,Residual_Energy,Residual_Momentum_0,Residual_Momentum_1,Residual_Momentum_2,Residual_Momentum_Magnitude,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,vtkValidPointMask,Y_Plus
245,2.45,2.09362e-05,4.33628,0,1.7915e-05,0.00591643,-4.21E-05,2.00499e-07,0,4.21021e-05,2.45,0,0,2.45,1.7345,-0.426782,2.69883e-17,3.14231e-12,-8.70E-16,-6.59E-14,0,6.58944e-14,0,0,0,0,288.606,-2.01095,0.00957696,0,2.01098,1,0
246,2.46,2.09364e-05,4.33632,0,1.7915e-05,0.00581074,-4.13E-05,2.25472e-07,0,4.13405e-05,2.46,0,0,2.46,1.73451,-0.425529,2.65863e-17,3.0101e-12,-2.93E-15,-6.58E-14,0,6.58161e-14,0,0,0,0,288.606,-1.97455,0.0107697,0,1.97458,1,0
247,2.47,2.09366e-05,4.33636,0,1.7915e-05,0.00573721,-4.08E-05,2.5504e-07,0,4.08231e-05,2.47,0,0,2.47,1.73453,-0.424171,2.65252e-17,3.0127e-12,-2.11E-15,-6.64E-14,0,6.64444e-14,0,0,0,0,288.607,-1.94981,0.0121815,0,1.94985,1,0
248,2.48,2.09367e-05,4.3364,0,1.7915e-05,0.00566632,-4.03E-05,2.84983e-07,0,4.03256e-05,2.48,0,0,2.48,1.73454,-0.422805,2.6492e-17,3.02631e-12,-1.05E-15,-6.71E-14,0,6.71443e-14,0,0,0,0,288.607,-1.92603,0.0136113,0,1.92607,1,0
249,2.49,2.09369e-05,4.33644,0,1.7915e-05,0.00559542,-3.98E-05,3.14927e-07,0,3.98282e-05,2.49,0,0,2.49,1.73456,-0.421438,2.64588e-17,3.03992e-12,3.7985e-19,-6.79E-14,0,6.78612e-14,0,0,0,0,288.607,-1.90224,0.015041,0,1.9023,1,0
250,2.5,2.09371e-05,4.33648,0,1.7915e-05,0.00552453,-3.93E-05,3.4487e-07,0,3.93309e-05,2.5,0,0,2.5,1.73458,-0.420071,2.64256e-17,3.05354e-12,1.05525e-15,-6.86E-14,0,6.85944e-14,0,0,0,0,288.607,-1.87846,0.0164708,0,1.87853,1,0
251,2.51,2.09373e-05,4.33652,0,1.79151e-05,0.00545363,-3.88E-05,3.74814e-07,0,3.88335e-05,2.51,0,0,2.51,1.73459,-0.418705,2.63924e-17,3.06715e-12,2.11013e-15,-6.93E-14,0,6.93436e-14,0,0,0,0,288.608,-1.85468,0.0179005,0,1.85476,1,0
252,2.52,2.09375e-05,4.33656,0,1.79151e-05,0.00538273,-3.83E-05,4.04757e-07,0,3.83362e-05,2.52,0,0,2.52,1.73461,-0.417338,2.63592e-17,3.08076e-12,3.165e-15,-7.00E-14,0,7.01081e-14,0,0,0,0,288.608,-1.83089,0.0193303,0,1.83099,1,0
253,2.53,2.09376e-05,4.3366,0,1.79151e-05,0.00531184,-3.78E-05,4.34701e-07,0,3.7839e-05,2.53,0,0,2.53,1.73463,-0.415971,2.6326e-17,3.09437e-12,4.21988e-15,-7.08E-14,0,7.08875e-14,0,0,0,0,288.608,-1.80711,0.02076,0,1.80723,1,0
254,2.54,2.09378e-05,4.33664,0,1.79151e-05,0.00524094,-3.73E-05,4.64644e-07,0,3.73417e-05,2.54,0,0,2.54,1.73464,-0.414605,2.62928e-17,3.10798e-12,5.27475e-15,-7.15E-14,0,7.16812e-14,0,0,0,0,288.608,-1.78333,0.0221898,0,1.78346,1,0
255,2.55,2.0938e-05,4.33669,0,1.79151e-05,0.00517005,-3.68E-05,4.94587e-07,0,3.68445e-05,2.55,0,0,2.55,1.73466,-0.413238,2.62596e-17,3.1216e-12,6.32962e-15,-7.22E-14,0,7.24889e-14,0,0,0,0,288.609,-1.75954,0.0236195,0,1.7597,1,0
256,2.56,2.09382e-05,4.33673,0,1.79151e-05,0.00507244,-3.61E-05,5.14879e-07,0,3.61418e-05,2.56,0,0,2.56,1.73468,-0.4118,2.62238e-17,3.13624e-12,7.46472e-15,-7.30E-14,0,7.3373e-14,0,0,0,0,288.609,-1.72595,0.0245891,0,1.72612,1,0
257,2.57,2.09384e-05,4.33677,0,1.79151e-05,0.00495544,-3.53E-05,5.28167e-07,0,3.529e-05,2.57,0,0,2.57,1.7347,-0.410309,2.61863e-17,3.15164e-12,8.65802e-15,-7.38E-14,0,7.43187e-14,0,0,0,0,288.609,-1.68523,0.0252249,0,1.68542,1,0
258,2.58,2.09386e-05,4.33681,0,1.79151e-05,0.0048679,-3.47E-05,5.40026e-07,0,3.46712e-05,2.58,0,0,2.58,1.73471,-0.408953,2.55264e-17,2.90244e-12,6.23275e-15,-7.18E-14,0,7.21084e-14,0,0,0,0,288.61,-1.65566,0.0257922,0,1.65586,1,0
259,2.59,2.09388e-05,4.33685,0,1.79152e-05,0.00479211,-3.41E-05,5.51315e-07,0,3.41454e-05,2.59,0,0,2.59,1.73473,-0.40765,2.46184e-17,2.54771e-12,2.3642e-15,-6.87E-14,0,6.87904e-14,0,0,0,0,288.61,-1.63052,0.0263321,0,1.63073,1,0
260,2.6,2.0939e-05,4.33689,0,1.79152e-05,0.00467522,-3.33E-05,5.76413e-07,0,3.32905e-05,2.6,0,0,2.6,1.73475,-0.406211,2.37248e-17,2.22486e-12,-1.34E-15,-6.62E-14,0,6.61714e-14,0,0,0,0,288.61,-1.58965,0.0275304,0,1.58989,1,0
261,2.61,2.09391e-05,4.33694,0,1.79152e-05,0.0045512,-3.24E-05,6.03906e-07,0,3.23786e-05,2.61,0,0,2.61,1.73476,-0.404749,2.28337e-17,1.90754e-12,-5.02E-15,-6.37E-14,0,6.38497e-14,0,0,0,0,288.61,-1.54606,0.0288428,0,1.54633,1,0
262,2.62,2.09393e-05,4.33698,0,1.79152e-05,0.00442718,-3.15E-05,6.31399e-07,0,3.14667e-05,2.62,0,0,2.62,1.73478,-0.403286,2.19425e-17,1.59023e-12,-8.70E-15,-6.11E-14,0,6.1762e-14,0,0,0,0,288.611,-1.50247,0.0301552,0,1.50277,1,0
263,2.63,2.09395e-05,4.33702,0,1.79152e-05,0.00430316,-3.05E-05,6.58892e-07,0,3.0555e-05,2.63,0,0,2.63,1.7348,-0.401824,2.10514e-17,1.2729e-12,-1.24E-14,-5.86E-14,0,5.99326e-14,0,0,0,0,288.611,-1.45888,0.0314676,0,1.45922,1,0
264,2.64,2.09397e-05,4.33707,0,1.79152e-05,0.00417914,-2.96E-05,6.86385e-07,0,2.96433e-05,2.64,0,0,2.64,1.73482,-0.400361,2.01603e-17,9.55587e-13,-1.61E-14,-5.61E-14,0,5.8386e-14,0,0,0,0,288.611,-1.41528,0.03278,0,1.41566,1,0
265,2.65,2.09399e-05,4.33711,0,1.79152e-05,0.00405512,-2.87E-05,7.13878e-07,0,2.87316e-05,2.65,0,0,2.65,1.73484,-0.398899,1.92691e-17,6.38271e-13,-1.97E-14,-5.36E-14,0,5.71451e-14,0,0,0,0,288.611,-1.37169,0.0340924,0,1.37211,1,0
266,2.66,2.09401e-05,4.33715,0,1.79152e-05,0.0039311,-2.78E-05,7.41371e-07,0,2.78201e-05,2.66,0,0,2.66,1.73485,-0.397436,1.8378e-17,3.20956e-13,-2.34E-14,-5.11E-14,0,5.623e-14,0,0,0,0,288.612,-1.3281,0.0354048,0,1.32857,1,0
267,2.67,2.09403e-05,4.3372,0,1.79153e-05,0.00380708,-2.69E-05,7.68864e-07,0,2.69087e-05,2.67,0,0,2.67,1.73487,-0.395974,1.74869e-17,3.63996e-15,-2.71E-14,-4.86E-14,0,5.56569e-14,0,0,0,0,288.612,-1.28451,0.0367172,0,1.28503,1,0
268,2.68,2.09405e-05,4.33724,0,1.79153e-05,0.00368306,-2.60E-05,7.96356e-07,0,2.59974e-05,2.68,0,0,2.68,1.73489,-0.394511,1.65957e-17,-3.14E-13,-3.08E-14,-4.61E-14,0,5.54364e-14,0,0,0,0,288.612,-1.24091,0.0380296,0,1.2415,1,0
269,2.69,2.09407e-05,4.33728,0,1.79153e-05,0.00355904,-2.51E-05,8.23849e-07,0,2.50862e-05,2.69,0,0,2.69,1.73491,-0.393049,1.57046e-17,-6.31E-13,-3.45E-14,-4.36E-14,0,5.55727e-14,0,0,0,0,288.612,-1.19732,0.039342,0,1.19797,1,0
270,2.7,2.09409e-05,4.33733,0,1.79153e-05,0.00343502,-2.42E-05,8.51342e-07,0,2.41751e-05,2.7,0,0,2.7,1.73492,-0.391586,1.48135e-17,-9.48E-13,-3.81E-14,-4.11E-14,0,5.60632e-14,0,0,0,0,288.613,-1.15373,0.0406544,0,1.15444,1,0
271,2.71,2.09411e-05,4.33738,0,1.79153e-05,0.00335601,-2.36E-05,8.76031e-07,0,2.36307e-05,2.71,0,0,2.71,1.73494,-0.389946,1.47395e-17,-9.22E-13,-3.72E-14,-4.21E-14,0,5.62344e-14,0,0,0,0,288.613,-1.12766,0.0418324,0,1.12844,1,0
272,2.72,2.09414e-05,4.33743,0,1.79153e-05,0.00328123,-2.31E-05,9.00456e-07,0,2.31208e-05,2.72,0,0,2.72,1.73496,-0.38829,1.47421e-17,-8.64E-13,-3.59E-14,-4.35E-14,0,5.64182e-14,0,0,0,0,288.613,-1.10324,0.0429977,0,1.10408,1,0
273,2.73,2.09416e-05,4.33748,0,1.79153e-05,0.00320645,-2.26E-05,9.24881e-07,0,2.2611e-05,2.73,0,0,2.73,1.73498,-0.386634,1.47448e-17,-8.06E-13,-3.46E-14,-4.49E-14,0,5.66646e-14,0,0,0,0,288.613,-1.07882,0.0441631,0,1.07973,1,0
274,2.74,2.09418e-05,4.33752,0,1.79153e-05,0.00313167,-2.21E-05,9.49307e-07,0,2.21013e-05,2.74,0,0,2.74,1.73501,-0.384977,1.47475e-17,-7.48E-13,-3.33E-14,-4.62E-14,0,5.69726e-14,0,0,0,0,288.614,-1.0544,0.0453284,0,1.05538,1,0
275,2.75,2.0942e-05,4.33757,0,1.79154e-05,0.00305689,-2.16E-05,9.73732e-07,0,2.15917e-05,2.75,0,0,2.75,1.73503,-0.383321,1.47501e-17,-6.90E-13,-3.20E-14,-4.76E-14,0,5.73413e-14,0,0,0,0,288.614,-1.02999,0.0464938,0,1.03103,1,0
276,2.76,2.09423e-05,4.33763,0,1.79154e-05,0.00298211,-2.11E-05,9.98157e-07,0,2.10822e-05,2.76,0,0,2.76,1.73505,-0.381665,1.47528e-17,-6.32E-13,-3.07E-14,-4.89E-14,0,5.77695e-14,0,0,0,0,288.614,-1.00557,0.0476591,0,1.00669,1,0
277,2.77,2.09425e-05,4.33767,0,1.79154e-05,0.00290733,-2.05E-05,1.02258e-06,0,2.05728e-05,2.77,0,0,2.77,1.73507,-0.380008,1.47555e-17,-5.74E-13,-2.94E-14,-5.03E-14,0,5.82559e-14,0,0,0,0,288.614,-0.981146,0.0488244,0,0.98236,1,0
278,2.78,2.09427e-05,4.33772,0,1.79154e-05,0.00283255,-2.00E-05,1.04701e-06,0,2.00635e-05,2.78,0,0,2.78,1.73509,-0.378352,1.47581e-17,-5.16E-13,-2.81E-14,-5.17E-14,0,5.87991e-14,0,0,0,0,288.615,-0.956726,0.0499898,0,0.958031,1,0
279,2.79,2.09429e-05,4.33777,0,1.79154e-05,0.00275777,-1.95E-05,1.07143e-06,0,1.95544e-05,2.79,0,0,2.79,1.73511,-0.376696,1.47608e-17,-4.57E-13,-2.68E-14,-5.30E-14,0,5.93974e-14,0,0,0,0,288.615,-0.932307,0.0511551,0,0.933709,1,0
280,2.8,2.09432e-05,4.33782,0,1.79154e-05,0.00268299,-1.90E-05,1.09586e-06,0,1.90454e-05,2.8,0,0,2.8,1.73513,-0.375039,1.47635e-17,-3.99E-13,-2.55E-14,-5.44E-14,0,6.00494e-14,0,0,0,0,288.615,-0.907887,0.0523205,0,0.909394,1,0
281,2.81,2.09434e-05,4.33787,0,1.79154e-05,0.00256601,-1.81E-05,1.10492e-06,0,1.81442e-05,2.81,0,0,2.81,1.73514,-0.37353,1.47661e-17,-3.41E-13,-2.41E-14,-5.57E-14,0,6.07531e-14,0,0,0,0,288.615,-0.864745,0.0527537,0,0.866353,1,0
282,2.82,2.09436e-05,4.33791,0,1.79154e-05,0.00244362,-1.72E-05,1.11201e-06,0,1.71931e-05,2.82,0,0,2.82,1.73516,-0.372041,1.47688e-17,-2.83E-13,-2.28E-14,-5.71E-14,0,6.15069e-14,0,0,0,0,288.616,-0.819207,0.0530933,0,0.820926,1,0
283,2.83,2.09438e-05,4.33796,0,1.79154e-05,0.00232645,-1.63E-05,1.11784e-06,0,1.62977e-05,2.83,0,0,2.83,1.73518,-0.370587,1.46806e-17,-2.82E-13,-2.25E-14,-5.77E-14,0,6.19083e-14,0,0,0,0,288.616,-0.776333,0.0533723,0,0.778166,1,0
284,2.84,2.09439e-05,4.338,0,1.79155e-05,0.00223862,-1.57E-05,1.11651e-06,0,1.5715e-05,2.84,0,0,2.84,1.7352,-0.369339,1.40814e-17,-6.03E-13,-2.77E-14,-5.37E-14,0,6.04534e-14,0,0,0,0,288.616,-0.748444,0.0533101,0,0.75034,1,0
285,2.85,2.09441e-05,4.33803,0,1.79155e-05,0.00215079,-1.51E-05,1.11519e-06,0,1.51324e-05,2.85,0,0,2.85,1.73521,-0.368091,1.34821e-17,-9.23E-13,-3.30E-14,-4.98E-14,0,5.96856e-14,0,0,0,0,288.616,-0.720555,0.0532478,0,0.72252,1,0
286,2.86,2.09443e-05,4.33807,0,1.79155e-05,0.00206296,-1.45E-05,1.11387e-06,0,1.45499e-05,2.86,0,0,2.86,1.73523,-0.366842,1.28828e-17,-1.24E-12,-3.82E-14,-4.58E-14,0,5.96313e-14,0,0,0,0,288.617,-0.692667,0.0531856,0,0.694705,1,0
287,2.87,2.09444e-05,4.33811,0,1.79155e-05,0.00196171,-1.37E-05,1.12201e-06,0,1.37275e-05,2.87,0,0,2.87,1.73524,-0.365691,1.22347e-17,-1.58E-12,-4.34E-14,-4.22E-14,0,6.05108e-14,0,0,0,0,288.617,-0.653246,0.0535743,0,0.655439,1,0
288,2.88,2.09446e-05,4.33814,0,1.79155e-05,0.00185335,-1.27E-05,1.13518e-06,0,1.27782e-05,2.88,0,0,2.88,1.73525,-0.364592,1.15606e-17,-1.91E-12,-4.85E-14,-3.88E-14,0,6.21223e-14,0,0,0,0,288.617,-0.607702,0.0542024,0,0.610114,1,0
289,2.89,2.09447e-05,4.33817,0,1.79155e-05,0.00174498,-1.18E-05,1.14835e-06,0,1.18298e-05,2.89,0,0,2.89,1.73527,-0.363492,1.08864e-17,-2.25E-12,-5.37E-14,-3.54E-14,0,6.42897e-14,0,0,0,0,288.617,-0.562159,0.0548305,0,0.564826,1,0
290,2.9,2.09448e-05,4.3382,0,1.79155e-05,0.00163662,-1.08E-05,1.16152e-06,0,1.08822e-05,2.9,0,0,2.9,1.73528,-0.362392,1.02123e-17,-2.59E-12,-5.88E-14,-3.20E-14,0,6.69589e-14,0,0,0,0,288.618,-0.516616,0.0554586,0,0.519584,1,0
291,2.91,2.0945e-05,4.33824,0,1.79155e-05,0.00152826,-9.87E-06,1.17469e-06,0,9.93594e-06,2.91,0,0,2.91,1.73529,-0.361293,9.53822e-18,-2.92E-12,-6.40E-14,-2.86E-14,0,7.00727e-14,0,0,0,0,288.618,-0.471073,0.0560867,0,0.4744,1,0
292,2.92,2.09451e-05,4.33827,0,1.79155e-05,0.00141989,-8.91E-06,1.18786e-06,0,8.99125e-06,2.92,0,0,2.92,1.73531,-0.360193,8.8641e-18,-3.26E-12,-6.91E-14,-2.52E-14,0,7.35745e-14,0,0,0,0,288.618,-0.42553,0.0567148,0,0.429293,1,0
293,2.93,2.09453e-05,4.3383,0,1.79156e-05,0.00131153,-7.96E-06,1.20103e-06,0,8.04873e-06,2.93,0,0,2.93,1.73532,-0.359094,8.18999e-18,-3.60E-12,-7.43E-14,-2.18E-14,0,7.74119e-14,0,0,0,0,288.618,-0.379987,0.0573428,0,0.384289,1,0
294,2.94,2.09454e-05,4.33834,0,1.79156e-05,0.00120317,-7.00E-06,1.2142e-06,0,7.10925e-06,2.94,0,0,2.94,1.73533,-0.357994,7.51588e-18,-3.94E-12,-7.94E-14,-1.84E-14,0,8.15373e-14,0,0,0,0,288.618,-0.334444,0.0579709,0,0.339431,1,0
295,2.95,2.09456e-05,4.33837,0,1.79156e-05,0.0010948,-6.05E-06,1.22737e-06,0,6.1742e-06,2.95,0,0,2.95,1.73535,-0.356894,6.84176e-18,-4.27E-12,-8.46E-14,-1.50E-14,0,8.59094e-14,0,0,0,0,288.619,-0.288901,0.058599,0,0.294784,1,0
296,2.96,2.09457e-05,4.3384,0,1.79156e-05,0.000986441,-5.10E-06,1.24054e-06,0,5.24594e-06,2.96,0,0,2.96,1.73536,-0.355795,6.16765e-18,-4.61E-12,-8.97E-14,-1.16E-14,0,9.04923e-14,0,0,0,0,288.619,-0.243358,0.0592271,0,0.250462,1,0
297,2.97,2.09459e-05,4.33844,0,1.79156e-05,0.000878077,-4.14E-06,1.25371e-06,0,4.32886e-06,2.97,0,0,2.97,1.73537,-0.354695,5.49353e-18,-4.95E-12,-9.49E-14,-8.16E-15,0,9.52557e-14,0,0,0,0,288.619,-0.197815,0.0598552,0,0.206672,1,0
298,2.98,2.0946e-05,4.33847,0,1.79156e-05,0.000788962,-3.24E-06,1.26568e-06,0,3.4813e-06,2.98,0,0,2.98,1.73539,-0.353574,4.9175e-18,-5.23E-12,-9.90E-14,-5.59E-15,0,9.91849e-14,0,0,0,0,288.619,-0.154831,0.0604259,0,0.166204,1,0
299,2.99,2.09462e-05,4.33851,0,1.79156e-05,0.000798653,-2.62E-06,1.27148e-06,0,2.91022e-06,2.99,0,0,2.99,1.7354,-0.352339,4.84492e-18,-5.19E-12,-9.78E-14,-7.30E-15,0,9.81154e-14,0,0,0,0,288.62,-0.12498,0.0607021,0,0.138942,1,0
300,3,2.09463e-05,4.33854,0,1.79156e-05,0.000808345,-1.99E-06,1.27729e-06,0,2.36673e-06,3,0,0,3,1.73542,-0.351103,4.77235e-18,-5.16E-12,-9.67E-14,-9.01E-15,0,9.70787e-14,0,0,0,0,288.62,-0.0951294,0.0609783,0,0.112995,1,0
301,3.01,2.09465e-05,4.33858,0,1.79156e-05,0.000818036,-1.37E-06,1.2831e-06,0,1.87496e-06,3.01,0,0,3.01,1.73543,-0.349868,4.69978e-18,-5.13E-12,-9.55E-14,-1.07E-14,0,9.60758e-14,0,0,0,0,288.62,-0.0652787,0.0612544,0,0.0895177,1,0
302,3.02,2.09467e-05,4.33862,0,1.79157e-05,0.000827728,-7.42E-07,1.28891e-06,0,1.48716e-06,3.02,0,0,3.02,1.73545,-0.348633,4.6272e-18,-5.09E-12,-9.43E-14,-1.24E-14,0,9.51078e-14,0,0,0,0,288.62,-0.0354281,0.0615306,0,0.0710012,1,0
303,3.03,2.09468e-05,4.33866,0,1.79157e-05,0.000837419,-1.17E-07,1.29471e-06,0,1.29995e-06,3.03,0,0,3.03,1.73546,-0.347398,4.55463e-18,-5.06E-12,-9.31E-14,-1.41E-14,0,9.41757e-14,0,0,0,0,288.621,-0.00557746,0.0618068,0,0.062058,1,0
304,3.04,2.0947e-05,4.3387,0,1.79157e-05,0.000847111,5.08737e-07,1.30052e-06,0,1.39648e-06,3.04,0,0,3.04,1.73548,-0.346163,4.48206e-18,-5.03E-12,-9.19E-14,-1.58E-14,0,9.32807e-14,0,0,0,0,288.621,0.0242732,0.062083,0,0.0666595,1,0
305,3.05,2.09472e-05,4.33873,0,1.79157e-05,0.000856802,1.13404e-06,1.30633e-06,0,1.72989e-06,3.05,0,0,3.05,1.73549,-0.344928,4.40948e-18,-5.00E-12,-9.07E-14,-1.76E-14,0,9.24239e-14,0,0,0,0,288.621,0.0541238,0.0623592,0,0.0825715,1,0
306,3.06,2.09473e-05,4.33877,0,1.79157e-05,0.000866494,1.75934e-06,1.31213e-06,0,2.19476e-06,3.06,0,0,3.06,1.73551,-0.343693,4.33691e-18,-4.96E-12,-8.96E-14,-1.93E-14,0,9.16062e-14,0,0,0,0,288.621,0.0839745,0.0626354,0,0.104761,1,0
307,3.07,2.09475e-05,4.33881,0,1.79157e-05,0.000876185,2.38464e-06,1.31794e-06,0,2.72461e-06,3.07,0,0,3.07,1.73552,-0.342458,4.26434e-18,-4.93E-12,-8.84E-14,-2.10E-14,0,9.08288e-14,0,0,0,0,288.621,0.113825,0.0629116,0,0.130054,1,0
308,3.08,2.09477e-05,4.33885,0,1.79157e-05,0.000885876,3.00994e-06,1.32375e-06,0,3.28817e-06,3.08,0,0,3.08,1.73554,-0.341223,4.19176e-18,-4.90E-12,-8.72E-14,-2.27E-14,0,9.00927e-14,0,0,0,0,288.622,0.143676,0.0631878,0,0.156957,1,0
309,3.09,2.09478e-05,4.33889,0,1.79157e-05,0.000930726,3.8813e-06,1.32182e-06,0,4.1002e-06,3.09,0,0,3.09,1.73555,-0.339896,4.11312e-18,-4.86E-12,-8.59E-14,-2.45E-14,0,8.93428e-14,0,0,0,0,288.622,0.185272,0.0630962,0,0.195721,1,0
310,3.1,2.0948e-05,4.33893,0,1.79157e-05,0.000999783,4.92206e-06,1.31457e-06,0,5.09458e-06,3.1,0,0,3.1,1.73557,-0.338506,4.03028e-18,-4.82E-12,-8.46E-14,-2.65E-14,0,8.86082e-14,0,0,0,0,288.622,0.234955,0.0627513,0,0.24319,1,0
311,3.11,2.09482e-05,4.33897,0,1.79158e-05,0.00106884,5.96283e-06,1.30733e-06,0,6.10446e-06,3.11,0,0,3.11,1.73559,-0.337116,3.94745e-18,-4.79E-12,-8.32E-14,-2.84E-14,0,8.79314e-14,0,0,0,0,288.622,0.284638,0.0624065,0,0.291399,1,0
312,3.12,2.09484e-05,4.33901,0,1.79158e-05,0.0011379,7.00359e-06,1.30008e-06,0,7.12323e-06,3.12,0,0,3.12,1.7356,-0.335727,3.86462e-18,-4.75E-12,-8.19E-14,-3.04E-14,0,8.7314e-14,0,0,0,0,288.622,0.334321,0.0620617,0,0.340032,1,0
313,3.13,2.09486e-05,4.33905,0,1.79158e-05,0.00121041,7.94474e-06,1.29034e-06,0,8.04884e-06,3.13,0,0,3.13,1.73562,-0.334405,3.61091e-18,-4.80E-12,-8.21E-14,-3.11E-14,0,8.78086e-14,0,0,0,0,288.623,0.379246,0.0615977,0,0.384216,1,0
314,3.14,2.09487e-05,4.33909,0,1.79158e-05,0.00129318,8.5906e-06,1.2732e-06,0,8.68444e-06,3.14,0,0,3.14,1.73563,-0.333284,2.85082e-18,-5.10E-12,-8.72E-14,-2.80E-14,0,9.15922e-14,0,0,0,0,288.623,0.410069,0.0607807,0,0.414549,1,0
315,3.15,2.09489e-05,4.33912,0,1.79158e-05,0.00137594,9.23646e-06,1.25607e-06,0,9.32148e-06,3.15,0,0,3.15,1.73565,-0.332162,2.09072e-18,-5.41E-12,-9.23E-14,-2.50E-14,0,9.55935e-14,0,0,0,0,288.623,0.440892,0.0599637,0,0.444951,1,0
316,3.16,2.0949e-05,4.33916,0,1.79158e-05,0.00145871,9.88232e-06,1.23894e-06,0,9.95968e-06,3.16,0,0,3.16,1.73566,-0.331041,1.33062e-18,-5.71E-12,-9.74E-14,-2.19E-14,0,9.97863e-14,0,0,0,0,288.623,0.471714,0.0591467,0,0.475408,1,0
317,3.17,2.09492e-05,4.33919,0,1.79158e-05,0.00154147,1.05282e-05,1.2218e-06,0,1.05988e-05,3.17,0,0,3.17,1.73568,-0.32992,5.70528e-19,-6.01E-12,-1.02E-13,-1.89E-14,0,1.04148e-13,0,0,0,0,288.624,0.502537,0.0583297,0,0.505911,1,0
318,3.18,2.09494e-05,4.33923,0,1.79158e-05,0.00168702,1.15607e-05,1.21356e-06,0,1.16242e-05,3.18,0,0,3.18,1.73569,-0.328646,-2.89E-19,-6.33E-12,-1.08E-13,-1.59E-14,0,1.0922e-13,0,0,0,0,288.624,0.551815,0.0579355,0,0.554848,1,0
319,3.19,2.09495e-05,4.33927,0,1.79158e-05,0.00184161,1.26488e-05,1.2066e-06,0,1.27063e-05,3.19,0,0,3.19,1.73571,-0.327349,-1.16E-18,-6.64E-12,-1.14E-13,-1.29E-14,0,1.14502e-13,0,0,0,0,288.624,0.603749,0.0576021,0,0.606491,1,0
320,3.2,2.09497e-05,4.33931,0,1.79158e-05,0.0019962,1.3737e-05,1.19964e-06,0,1.37893e-05,3.2,0,0,3.2,1.73572,-0.326051,-2.04E-18,-6.95E-12,-1.19E-13,-9.97E-15,0,1.19897e-13,0,0,0,0,288.624,0.655684,0.0572687,0,0.65818,1,0
321,3.21,2.09499e-05,4.33935,0,1.79158e-05,0.0021508,1.48252e-05,1.19268e-06,0,1.48731e-05,3.21,0,0,3.21,1.73574,-0.324754,-2.91E-18,-7.26E-12,-1.25E-13,-7.01E-15,0,1.25389e-13,0,0,0,0,288.624,0.707619,0.0569354,0,0.709906,1,0
322,3.22,2.09501e-05,4.33939,0,1.79159e-05,0.00230539,1.59133e-05,1.18572e-06,0,1.59574e-05,3.22,0,0,3.22,1.73575,-0.323457,-3.79E-18,-7.58E-12,-1.31E-13,-4.06E-15,0,1.30967e-13,0,0,0,0,288.624,0.759553,0.056602,0,0.761659,1,0
323,3.23,2.09503e-05,4.33943,0,1.79159e-05,0.00245998,1.70015e-05,1.17876e-06,0,1.70423e-05,3.23,0,0,3.23,1.73577,-0.32216,-4.66E-18,-7.89E-12,-1.37E-13,-1.10E-15,0,1.3662e-13,0,0,0,0,288.625,0.811488,0.0562686,0,0.813436,1,0
324,3.24,2.09504e-05,4.33948,0,1.79159e-05,0.00261457,1.80896e-05,1.1718e-06,0,1.81276e-05,3.24,0,0,3.24,1.73579,-0.320863,-5.54E-18,-8.20E-12,-1.42E-13,1.8587e-15,0,1.4234e-13,0,0,0,0,288.625,0.863422,0.0559353,0,0.865232,1,0
325,3.25,2.09506e-05,4.33952,0,1.79159e-05,0.00276916,1.91778e-05,1.16484e-06,0,1.92132e-05,3.25,0,0,3.25,1.7358,-0.319566,-6.41E-18,-8.51E-12,-1.48E-13,4.81611e-15,0,1.48118e-13,0,0,0,0,288.625,0.915357,0.0556019,0,0.917044,1,0
326,3.26,2.09508e-05,4.33956,0,1.79159e-05,0.00292375,2.0266e-05,1.15788e-06,0,2.0299e-05,3.26,0,0,3.26,1.73582,-0.318269,-7.28E-18,-8.83E-12,-1.54E-13,7.77351e-15,0,1.53947e-13,0,0,0,0,288.625,0.967292,0.0552685,0,0.968869,1,0
327,3.27,2.0951e-05,4.3396,0,1.79159e-05,0.00307834,2.13541e-05,1.15092e-06,0,2.13851e-05,3.27,0,0,3.27,1.73583,-0.316972,-8.16E-18,-9.14E-12,-1.59E-13,1.07309e-14,0,1.59823e-13,0,0,0,0,288.625,1.01923,0.0549352,0,1.02071,1,0
328,3.28,2.09511e-05,4.33964,0,1.79159e-05,0.00323294,2.24423e-05,1.14395e-06,0,2.24714e-05,3.28,0,0,3.28,1.73585,-0.315675,-9.03E-18,-9.45E-12,-1.65E-13,1.36883e-14,0,1.6574e-13,0,0,0,0,288.625,1.07116,0.0546018,0,1.07255,1,0
329,3.29,2.09513e-05,4.33968,0,1.79159e-05,0.00338753,2.35305e-05,1.13699e-06,0,2.35579e-05,3.29,0,0,3.29,1.73586,-0.314378,-9.91E-18,-9.76E-12,-1.71E-13,1.66457e-14,0,1.71694e-13,0,0,0,0,288.626,1.1231,0.0542684,0,1.12441,1,0
