Point ID,arc_length,Density,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Residual_Density,Residual_Energy,Residual_Momentum_0,Residual_Momentum_1,Residual_Momentum_2,Residual_Momentum_Magnitude,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,vtkValidPointMask,Y_Plus
570,5.7,2.09776e-05,4.34621,0,1.79155e-05,0.0319638,0.000228276,-8.89E-07,0,0.000228278,5.7,0,0,5.7,1.73798,-0.140353,-5.16E-17,-1.63E-11,-3.16E-13,-2.58E-14,0,3.17506e-13,0,0,0,0,288.616,10.8819,-0.0423694,0,10.882,1,0
571,5.71,2.09776e-05,4.34622,0,1.79155e-05,0.0320984,0.000229233,-9.01E-07,0,0.000229235,5.71,0,0,5.71,1.73798,-0.140397,-5.21E-17,-1.63E-11,-3.14E-13,-2.63E-14,0,3.14834e-13,0,0,0,0,288.616,10.9275,-0.0429353,0,10.9276,1,0
572,5.72,2.09776e-05,4.34623,0,1.79154e-05,0.032233,0.00023019,-9.12E-07,0,0.000230192,5.72,0,0,5.72,1.73798,-0.140441,-5.26E-17,-1.63E-11,-3.11E-13,-2.68E-14,0,3.12164e-13,0,0,0,0,288.616,10.9731,-0.0435011,0,10.9732,1,0
573,5.73,2.09776e-05,4.34624,0,1.79154e-05,0.0323675,0.000231147,-9.24E-07,0,0.000231149,5.73,0,0,5.73,1.73798,-0.140485,-5.31E-17,-1.63E-11,-3.08E-13,-2.72E-14,0,3.09496e-13,0,0,0,0,288.615,11.0187,-0.0440669,0,11.0188,1,0
574,5.74,2.09776e-05,4.34624,0,1.79154e-05,0.0325021,0.000232104,-9.36E-07,0,0.000232106,5.74,0,0,5.74,1.73798,-0.140529,-5.36E-17,-1.63E-11,-3.06E-13,-2.77E-14,0,3.06829e-13,0,0,0,0,288.615,11.0643,-0.0446328,0,11.0644,1,0
575,5.75,2.09777e-05,4.34625,0,1.79154e-05,0.0326367,0.000233061,-9.48E-07,0,0.000233063,5.75,0,0,5.75,1.73798,-0.140573,-5.41E-17,-1.63E-11,-3.03E-13,-2.82E-14,0,3.04164e-13,0,0,0,0,288.615,11.1099,-0.0451986,0,11.11,1,0
576,5.76,2.09777e-05,4.34626,0,1.79154e-05,0.0327713,0.000234017,-9.60E-07,0,0.000234019,5.76,0,0,5.76,1.73798,-0.140617,-5.46E-17,-1.63E-11,-3.00E-13,-2.87E-14,0,3.01501e-13,0,0,0,0,288.614,11.1555,-0.0457645,0,11.1556,1,0
577,5.77,2.09777e-05,4.34627,0,1.79154e-05,0.0329058,0.000234974,-9.72E-07,0,0.000234976,5.77,0,0,5.77,1.73798,-0.140661,-5.51E-17,-1.63E-11,-2.97E-13,-2.92E-14,0,2.9884e-13,0,0,0,0,288.614,11.2011,-0.0463303,0,11.2012,1,0
578,5.78,2.09777e-05,4.34628,0,1.79153e-05,0.0330404,0.000235931,-9.84E-07,0,0.000235933,5.78,0,0,5.78,1.73798,-0.140705,-5.56E-17,-1.63E-11,-2.95E-13,-2.97E-14,0,2.96181e-13,0,0,0,0,288.614,11.2467,-0.0468962,0,11.2468,1,0
579,5.79,2.09777e-05,4.34629,0,1.79153e-05,0.033175,0.000236888,-9.95E-07,0,0.00023689,5.79,0,0,5.79,1.73798,-0.140749,-5.61E-17,-1.63E-11,-2.92E-13,-3.02E-14,0,2.93524e-13,0,0,0,0,288.613,11.2923,-0.047462,0,11.2924,1,0
